Issue key,Issue id,Summary,Status,Custom field (Requirement Priority)
LVV-9921,299743,DMS-PRTL-REQ-0082-V-01: Retrieve HEALPix-Associated Data_1,Covered,
LVV-9922,307068,DMS-PRTL-REQ-0079-V-01: Zoom In and Out on a HEALPix Image_1,Verified,
LVV-9923,305481,DMS-PRTL-REQ-0087-V-01: Astrophysical Compass Overlay_1,In Verification,
LVV-9924,305479,DMS-PRTL-REQ-0083-V-01: Coordinate Display Applicability_1,In Verification,
LVV-9925,305480,DMS-PRTL-REQ-0086-V-01: Coordinate Grid Overlays_1,In Verification,
LVV-9926,305483,DMS-PRTL-REQ-0085-V-01: Distance Measurement Tool_1,In Verification,
LVV-9927,299757,DMS-PRTL-REQ-0088-V-01: Geometric Figure Overlays_1,Covered,
LVV-9928,305484,DMS-PRTL-REQ-0084-V-01: Point Coordinate Display_1,In Verification,
LVV-9929,299769,DMS-PRTL-REQ-0091-V-01: Calculated Filtering of Tabular Data_1,Covered,
LVV-9930,299748,DMS-PRTL-REQ-0093-V-01: Calculated Quantities on Tabular Data_1,Covered,
LVV-9931,305482,DMS-PRTL-REQ-0092-V-01: Filtering of Tabular Data by Multiple Columns_1,In Verification,
LVV-9932,307072,DMS-PRTL-REQ-0095-V-01: Saving Displayed Tabular Data_1,Verified,
LVV-9933,305485,DMS-PRTL-REQ-0090-V-01: Simple Filtering of Tabular Data_1,In Verification,
LVV-9934,299752,DMS-PRTL-REQ-0089-V-01: Sorting of Tabular Data by Column_1,Covered,
LVV-9935,299775,DMS-PRTL-REQ-0094-V-01: Statistical Measurements on Tabular Data_1,Covered,
LVV-9936,299763,DMS-PRTL-REQ-0096-V-01: False-color Images Creation and Display_1,Covered,
LVV-9937,305486,DMS-PRTL-REQ-0097-V-01: Statistical Measurements on Image Data_1,In Verification,
LVV-9938,299782,DMS-PRTL-REQ-0105-V-01: Brightness Light Curves_1,Covered,
LVV-9939,305487,DMS-PRTL-REQ-0107-V-01: Data Selection from a Plot or Image_1,In Verification,
LVV-9940,299803,DMS-PRTL-REQ-0102-V-01: Display of Camera Artifacts as Overlays_1,Covered,
LVV-9941,307092,"DMS-PRTL-REQ-0106-V-01: Linked Tables, Plots, and Images_1",Verified,
LVV-9942,305488,DMS-PRTL-REQ-0098-V-01: Overlay Catalog of Sources and Objects on Images_1,In Verification,
LVV-9943,299790,DMS-PRTL-REQ-0099-V-01: Overlay LSST-Derived Orbits_1,Covered,
LVV-9944,299797,DMS-PRTL-REQ-0100-V-01: Overlay User-provided Catalogs on Images_1,Covered,
LVV-9945,299821,DMS-PRTL-REQ-0101-V-01: Overlay User-provided Region Files on Images_1,Covered,
LVV-9946,299809,DMS-PRTL-REQ-0104-V-01: Position-based Time-Domain Image View_1,Covered,
LVV-9947,299813,DMS-PRTL-REQ-0108-V-01: Saving Data Selection from a Plot or Image_1,Covered,
LVV-9948,299817,DMS-PRTL-REQ-0103-V-01: Single-Object Time-Domain Image View_1,Covered,
LVV-9949,299826,DMS-PRTL-REQ-0109-V-01: Access to User Databases_1,Covered,
LVV-9950,299834,DMS-PRTL-REQ-0113-V-01: Download Volume Estimation_1,Covered,
LVV-9951,305490,DMS-PRTL-REQ-0111-V-01: Image Data Download_1,In Verification,
LVV-9952,299839,DMS-PRTL-REQ-0114-V-01: Long Download Completion Notification_1,Covered,
LVV-9953,299830,DMS-PRTL-REQ-0112-V-01: Selected Image Download_1,Covered,
LVV-9954,305489,DMS-PRTL-REQ-0110-V-01: Tabular Data Download_1,In Verification,
LVV-9955,299844,DMS-PRTL-REQ-0115-V-01: APIs for Visualization Components_1,Covered,
LVV-9956,299848,DMS-PRTL-REQ-0117-V-01: Computational Quotas User Interface_1,Covered,
LVV-9957,299853,DMS-PRTL-REQ-0118-V-01: Portal Display Preferences_1,Covered,
LVV-9958,299858,DMS-PRTL-REQ-0116-V-01: Storage Quotas User Interface_1,Covered,
LVV-9959,299862,DMS-PRTL-REQ-0127-V-01: Alert Subscription Monitoring_1,Covered,
LVV-9960,299873,DMS-PRTL-REQ-0119-V-01: Alert Subscription Service_1,Covered,
LVV-9961,299868,DMS-PRTL-REQ-0120-V-01: Pre-defined Alert Filters_1,Covered,
LVV-9962,299878,DMS-PRTL-REQ-0121-V-01: User-defined Alert Filters_1,Covered,
LVV-9963,299885,DMS-PRTL-REQ-0122-V-01: Access to Observatory Documentation_1,Covered,
LVV-9964,299883,DMS-PRTL-REQ-0124-V-01: Portal API Documentation_1,Covered,
LVV-9965,299889,DMS-PRTL-REQ-0123-V-01: Portal User Documentation_1,Covered,
LVV-9966,299887,DMS-PRTL-REQ-0126-V-01: System-Busy Indication_1,Covered,
LVV-9967,299899,DMS-PRTL-REQ-0125-V-01: Tolerance of Production Database Changes_1,Covered,
LVV-9968,299895,DMS-NB-REQ-0010-V-01: Common Astronomy Package Availability_1,Covered,
LVV-9969,305493,DMS-NB-REQ-0009-V-01: Data Access Middleware Availability_1,In Verification,
LVV-9970,299893,DMS-NB-REQ-0014-V-01: Documentation_1,Covered,
LVV-9971,305491,DMS-NB-REQ-0005-V-01: Interactive Python Environment_1,In Verification,
LVV-9972,299891,DMS-NB-REQ-0015-V-01: New-User Onboarding_1,Covered,
LVV-9973,307078,DMS-NB-REQ-0013-V-01: Persistent User Home File Space_1,Verified,
LVV-9974,307084,DMS-NB-REQ-0007-V-01: Pre-installed Containerized Software Releases_1,Verified,
LVV-9975,299901,DMS-NB-REQ-0008-V-01: Release Deployment Latency_1,Covered,
LVV-9976,307088,DMS-NB-REQ-0006-V-01: Unix Shell Access_1,Verified,
LVV-9977,299897,DMS-NB-REQ-0012-V-01: User Development Environment_1,Covered,
LVV-9978,299903,DMS-NB-REQ-0011-V-01: User Package Installation_1,Covered,
LVV-9979,299910,DMS-NB-REQ-0023-V-01: Access to All Data Products_1,In Verification,
LVV-9980,307082,DMS-NB-REQ-0017-V-01: Access to the API and Portal Aspects_1,Verified,
LVV-9981,299905,DMS-NB-REQ-0021-V-01: Batch System Access_1,Covered,
LVV-9982,299907,DMS-NB-REQ-0022-V-01: Compute and Storage Quotas_1,Covered,
LVV-9983,299909,DMS-NB-REQ-0016-V-01: Shared File Space_1,Covered,
LVV-9984,299916,DMS-NB-REQ-0020-V-01: User Database Workspace Access_1,Covered,
LVV-9985,299912,DMS-NB-REQ-0018-V-01: User File Workspace Access_1,Covered,
LVV-9986,299914,DMS-NB-REQ-0019-V-01: VOSpace Access_1,Covered,
LVV-9987,299918,DMS-NB-REQ-0025-V-01: Deployment Workload in Kubernetes_1,Covered,
LVV-9988,299924,DMS-NB-REQ-0024-V-01: Ease of Deployment_1,Covered,
